id,Kichwa,Español
2102,waktanakuy, luchar 
2103,walaku, rana comestible 
2104,walinyana, balancear 
2105,wallinku, conejo 
2106,wallka, collar 
2107,wallpa, forma formación 
2108,wallpachi yuyay, teoría creacionista 
2109,wallpana, crear inventar 
2110,wallpari, invento creación 
2111,wallpay, estructura 
2112,wallpaykamay, filosofía 
2113,walpana, crear inventar 
2114,waltaku, pantalón de tela 
2115,waman, gavilán 
2116,wamintsi, rosado 
2117,wampra, joven adolescente varón 
2118,wampuk, barco lancha 
2119,wampuk rikutirikancha, puerto marítimo 
2120,wampulli, bote canoa velero barca pequeña 
2121,wampuna, nadar 
2122,wampuy, natación 
2123,wampuypi shuwakkuna, piratas corsario 
2124,wamra, púber 
2125,wanachiy, castigar 
2126,wanchiy, matar 
2127,wankuri, organización 
2128,wantu, floripondio 
2129,wanu, fertilizante natural 
2130,wanyari, evaporación 
2131,wara, pantalón de lana 
2132,warakay, lanzamiento 
2133,waranka, mil 1000 
2134,waranka piti, tanto por mil 
2135,warankakri, milésimo 
2136,warankaku, kilogramo 
2137,warankawataychi, milenio 
2138,waricha/pampawarmi, prostituta 
2139,warichakay, prostitucion 
2140,warichariy, locura 
2141,warmi, mujer esposa 
2142,warmi wara, blusa 
2143,warmipurakuyay, lesbianismo 
2144,warunruk chachu, astro 
2145,washa, espalda 
2146,washa tullu, columna vertebral espinazo 
2147,washa tullu ñutuku, médula espinal 
2148,washa ñutuku, cerebelo 
2149,washarimay, murmuración crítica 
2150,washatarimay, murmurar 
2151,wasi, casa 
2152,wasi allpa rantimanta, bienes y raíces 
2153,wasiruraykamay, arquitectura 
2154,waska, soga 
2155,waskariklla, ritmo 
2156,wasra, vino 
2157,wata, año 
2158,watapacha, calendario 
2159,watay wasi, prisión 
2160,watayuk, edad 
2161,watu, cadena 
2162,watuchina imashi, adivinar 
2163,wawa, niño 
2164,wawa chumpi, fajadelgada 
2165,wawa kullki kamachik, regla de interés simple 
2166,wawa mama, placenta 
2167,wawa ruka, dedo meñique 
2168,wawakay, niñez 
2169,wawakullki, interés 
2170,wawchiy, influencia 
2171,wawki, hermano entre hermanos 
2172,wawkikay, hermandad entre hombres 
2173,wayay, oxígeno 
2174,waychi, plomo 
2175,wayku, quebrada barranco 
2176,waykuhaskancha, relieve 
2177,waykukaskancha, relieve 
2178,waylla, verde 
2179,wayllamkay, obrajes 
2180,waylluy, ternura 
2181,wayna, joven amante 
2182,wayra, aire viento 
2183,wayrakata wayramaytu, atmósfera 
2184,wayrayay, volatilidad 
2185,wayru, octubre 
2186,wayru killa, octubre 
2187,wayta, clavel 
2188,wañuna, morir 
2189,wañuy, muerte 
2190,wañuykamachiy, ley de inquisición 
2191,wichay, subida cuesta 
2192,wichay suyu, sur 
2193,wichayana, ascender 
2194,wichisuni, alto 
2195,wichkachik, paréntesis 
2196,wichkak chupa, comilla 
2197,wichkak chupaw, comilla 
2198,wichkashka, encerrado 
2199,wika, escremento 
2200,wikar, cintura 
2201,wiki, lágrima 
2202,wikka mayu, sumo saserdoteshyry 
2203,wiksa, barriga vientre 
2204,wikuriy, flexibilidad 
2205,wilka, ritos 
2206,wilkana, rito 
2207,wilkana muchana, adorar venerar 
2208,wilkay, sagrado 
2209,willachik, noticia 
2210,willak hillay, medio de comunicación 
2211,willak pirkaw, periódico mural 
2212,willak yuyay, oración enunciativa 
2213,willakpirka, periódico mural 
2214,willana, avisar informar 
2215,willayhillay, medio de comunicación 
2216,willaykancha, medios de comunicación 
2217,williku, espermatozoide 
2218,wilyay lumyay, llamarada 
2219,winkuchikkuna, paréntesis 
2220,winkuk, llaves 
2221,wirakucha, rubicundo pelirojo rubio 
2222,wisiyay, crema 
2223,wisnu, materia 
2224,wisya, crema 
2225,witikwitik, tambalear 
2226,witsyayay, subirse 
2227,wiwakamay, ganadería 
2228,wiwakuna, animales 
2229,wiwika, oveja 
2230,wiwika llama, oveja 
2231,wiña, generación 
2232,wiñachina, criar 
2233,wiñachishka shimi, neologismo 
2234,wiñakukllachak k, almácigos 
2235,wiñana, crecer 
2236,wiñari, desarrollo 
2237,wiñarikpukyu, fuente vertiente 
2238,wiñarina, desarrollar 
2239,wiñay, siempre 
2240,wiñay kawsay kallaripi rurayta kamay, arqueología 
2241,wiñay kawsaykallaripi ruraytakamay, arqueología 
2242,wiñaykawsay, historia 
2243,wiñaykawsay imakuna, hechos históricos 
2244,wiñaykawsay kallariy, prehistoria 
2245,wiñaykaysay kallari, inicio de la historia prehistoria 
2246,yachakuna, aprender 
2247,yachana, saber 
2248,yachana wasi, escuela 
2249,yachapayay, dramatización  
2250,yachapayay w, dramatización 
2251,yachariy, estar acostumbrado 
2252,yachay, ciencia educación 
2253,yachay pampa, area 
2254,yachay ñan, proceso metodológico 
2255,yachayay, enterarse 
2256,yachaykamachik, ley de educación 
2257,yachaykancha, área 
2258,yachaykuna, sabiduría 
2259,yachaypa hillay, material didáctico 
2260,yachaypak hillay, recurso didáctico 
2261,yachayruray, práctica 
2262,yachayshuti, título 
2263,yachayta taripana, dominio del conocimiento 
2264,yachayta taripay, dominio del conocimiento 
2265,yachayta wallpay, creación del conocimiento 
2266,yachayta willana, socialización del conocimiento 
2267,yachayta wiñachiy, creación del conocimiento 
2268,yachaywa, tema 
2269,yachaywa w, tema 
2270,yachaywan rurana, aplicación del conocimiento 
2271,yachayyuyay, teoría 
2272,yachayñan, metodología 
2273,yaksina, fundir 
2274,yaksishka, fundido 
2275,yaku, agua 
2276,yaku ishpa, orina 
2277,yaku larka, canal de riego 
2278,yaku shunku, hígado 
2279,yakuhampik chuyayachik yachuchik, cloración del agua 
2280,yakukamay, hidrografía 
2281,yakumuyuyallpa, isla tierra rodeade de agua 
2282,yakushushuy, decantación 
2283,yakuyachik, disolvente 
2284,yakuyachina, disolver 
2285,yakuyachiy, derretir 
2286,yakuyakkuri, golfo 
2287,yakuyashka, líquido 
2288,yakwallpa, anfibios 
2289,yalli paktachik, complemento directo 
2290,yalli paktachik yp, complemento directo 
2291,yallichawpiyak, moda 
2292,yallilutsayak, proporción geométrica o directa 
2293,yallimanya, cateto mayor 
2294,yallishka, mayor que 
2295,yallishka pacha, tiempo pasado 
2296,yalliyak pakiyupay, fracción inpropia 
2297,yana sara, maíz negro 
2298,yana shunku, riñón 
2299,yana yana, negro intenso 
2300,yanakuna, servidumbre 
2301,yanantina kutuna hatun hallmana, aporcar 
2302,yanapak wasi, agencia de desarrollo 
2303,yanapak wasikuna, instituciones 
2304,yanapana, ayudar 
2305,yanapanka, servicio 
2306,yanapay, servicio servir 
2307,yanapayana, solidarizar 
2308,yanapayaymanta, solidadaridad 
2309,yankakapak, politiquero 
2310,yankakichuna, invadir 
2311,yankakichuy, invasión 
2312,yankichik, agentes 
2313,yankina, modificar 
2314,yankina shukmanyachina, cambiar 
2315,yankinachik, agente modificador 
2316,yankiy, cambio 
2317,yanuna, cocinar 
2318,yanuna uku, cocina 
2319,yapa tantachiy, conjunto unión 
2320,yapakullki, monto 
2321,yapakullkina, usura 
2322,yapakutinchiklla, frecuencia acumulada 
2323,yapalutsay, proporcionalidad directa 
2324,yaparikkuna, sumandos 
2325,yapatantachi, unión de conjuntos 
2326,yapuk, arador 
2327,yari, sentido 
2328,yariyachina, 2percibir 
2329,yarkay, hambre 
2330,yawar, sangre 
2331,yawar ayllunikiyashka, grados de consanguinidad 
2332,yawar muyuri, circulación de sangre 
2333,yawarchakruri, mestizaje 
2334,yawarmuyuriy, circulatorio sanguíneo 
2335,yawarpuriy, presión arterial 
2336,yawati, tortuga 
2337,yawatisuyu, región insular galápagos 
2338,yawri, aguja 
2339,yaya, padre 
2340,yaya / tayta, papá padre 
2341,yaykuchiy satiy, introducción física 
2342,yaykuna, entrar 
2343,yukuna yumana, aparear 
2344,yuma, semen 
2345,yumariy, unirse sexualmente 
2346,yumay, semen 
2347,yupachay, cortesía 
2348,yupachi, conteo 
2349,yupana, contar 
2350,yupay chani, valor absoluto o numérico 
2351,yupaychana, agradecer 
2352,yupaychani, gracias 
2353,yupaykamay, matemática 
2354,yupaykamay hillaykuna, materiales didácticos de la matemática 
2355,yupaykamaychi, sistema numérico 
2356,yupaykamaychi yuyay, pensamiento lógico matemático 
2357,yupaykamayuk, matemático 
2358,yupaykuna, los números 
2359,yupaykuska, recta numérica 
2360,yupaylli, cuenta bancaria 
2361,yupaymillka, esquema numérico 
2362,yupaynikichik, calculadora 
2363,yupaypurachi, razón 
2364,yupayrurayri, operación numérica o aritmética 
2365,yura, planta 
2366,yurak, blanco 
2367,yurak sara, maíz blanco 
2368,yurak shunku, pulmón 
2369,yurakamak, forestal 
2370,yurakuna, plantas 
2371,yutay, influencia 
2372,yuyakillkalla, carta 
2373,yuyakyashka, vejez 
2374,yuyana, pensar 
2375,yuyarikkuna, reflexiones 
2376,yuyarina, reflexionar 
2377,yuyasha, cautela 
2378,yuyay, pensamieto 
2379,yuyay awariy, sintaxis 
2380,yuyay kaspi, línea imaginaria 
2381,yuyay paktay, unidad de criterio 
2382,yuyay rurayri, problemas razonados  
2383,yuyaychipukllay, rompecabezas 
2384,yuyaynikik, software 
2385,yuyaynina, opinar 
2386,yuyaypaktana, concertar 
2387,yuyayrikuchik, determinación o definición 
2388,yuyayrina, concentrar 
2389,yuyayrina w, concentrar mental 
2390,yuyu / panra, nabo 
2391,zampu, sambo calabaza 
2392,zirmaputulli, bateria pila 
2393,ñachu, ya está ya es 
2394,ñakariy, pasión de placer 
2395,ñankamu, guía 
2396,ñankamu w, guía didáctica 
2397,ñapash shamuna pacha, futuro inmediato 
2398,ñawchina, auxiliar cooperar influenciar contribuir 
2399,ñawchina yanapana, auxiliar 
2400,ñawi, cara rostro 
2401,ñawi chakata, glándula pineal 
2402,ñawi chichu, mejilla 
2403,ñawi lulun, ojo 
2404,ñawi millma, pestaña 
2405,ñawi pata millma, ceja 
2406,ñawirina killkakatina, leer 
2407,ñawirina killkakatina taller b, leer 
2408,ñawpa, delante tiempo 
2409,ñawpa kawsay pacha, eras antiguas 
2410,ñawpa pachakwatakuna, largos siglos 
2411,ñawpa uma tullu, hueso frontal del cráneo 
2412,ñawpak, principales 
2413,ñawpakawsay imarikuchi kunakamay, vestigios arqueológicos 
2414,ñawpakawsayimarikuchi kunakamay, vestigios arqueológicos 
2415,ñawpana, adelantar 
2416,ñawpanchina, promover 
2417,ñawpanchina w, promover 
2418,ñawpapacha, paleolítico 
2419,ñawparimay, mito cuento leyenda 
2420,ñaña, hermana entre hermanas 
2421,ñañakay, hermandad entre mujeres 
2422,ñañu, delgado 
2423,ñañu chunchulli, intestino delgado 
2424,ñuka, yo mio mia 
2425,ñukanchik, nosotras  nosotros 
2426,ñukanchikpa, nuestro nuestra 
2427,ñukapa yuyaymanta, de mi consideración 
2428,ñukik, sensual 
2429,ñunu, leche 
2430,ñutalla, sutil 
2431,ñutku, seso 
2432,ñutu amuk, suave blando 
2433,ñutuñachina, ablandar 
2434,achachaw,  ¡qué calor! achachaw / mana puñunata ushaní. ¡qué calor! ¡no puedo dormir!
2435,achachay,  expresión que se dice al tocar algo frío o mojado. achachay / chirimi kashka. ¡uf / qué fría ha estado esta agua!
2436,achikyachik,  foco. ñukanchik yachana wasipi achikyachik rupashka. el foco de nuestra escuela se quemó.
2437,achikyana,  brillar. tutamantak inti achikyarka. el sol brilló desde la mañana.
2438,achkanaya,  algo más / bastante. achkanayata churapay. ponme algo más por favor.
2439,achuchu,  expresión utilizada para asustar a los niños pequeños para que no toquen el fuego o algo que queme. achuchu / ama llamkaychu. ¡es caliente / no toques!
2440,achukcha,  achogcha. achukchata yanuy / uchuwan takashpa mikunkapak. cocina achogcha / que comeré con ají.
2441,ajirinri,  ajemjimbre. paypak chakrapi awirinrita tarpushka. en la chacra de él han sembrado jengibre.
2442,akankaw (kakataw),  tipo de gavilán que se alimenta de nidos de avispas. akankawaka imatapash rikushpa yapa kaparin kan. ese tipo de gavilán viendo cualquier cosa chilla mucho.
2443,akcha-kara,  cuero cabelludo. akcha-karami shikshiwan. siento comezón en el cuero cabelludo.
2444,akllana,  escoger / elegir / clasificar. churana llachapata akllashpa rantinki. escogiendo comprarás la ropa.
2445,aklluna,  tartamudear / balbucear. shuk nikipi yachakuk wakin wawakunaka yachaykunapi akllunakun. algunos niños de primer nivel tartamudean en el aprendizaje.
2446,aknina,  eructar. llullu aswata upyashpami aknini.tomando chicha tierna eructo.
2447,aku,  gramo. ishkay kuri akuta mayupi llukshichirkani. saqué del río dos gramos de oro.
2448,ala,  hongo comestible. ala uchumankatami wasipik mikunchik.en casa comemos sopa de hongos con ají.
2449,alakatu (alankatu),  chicha espesa / que antes de servirla ya sea con la mano o con algún utensilio / la mujer baila delante de la persona a quien va a brindar. apukkuna paktamushkapi / alakatuta warmikuna kararka. a las autoridades / las mujeres les dieron chicha espesa.
2450,almayari,  cumbrera para casas / tejida con hojas de palmeras. panka wasi jawapi almayarita churay. ponga la cumbrera de la casa.
2451,alukus,  hormiga negra fétida / hediondo. pakay yurapimi alukus achka mirashka. en árbol de guaba ha aumentado la hormiga negra.
2452,allichiska jampi,  remedio químico. ayllullaktapika chukchu unkuytaka allichishka jampiwanmi jampinchik. el paludismo en las comunidades es controlado con remedio químico.
2453,allikawsay,  salud. antisuyumanta kichwa ayllukunami allpa wiramanta mana allikawsayta tuparin. las familias kichwas de la amazonía se encuentran mal de salud por la contaminación petrolera.
2454,allikillkana,  ortografía. yachakukkunaka mana allikillkayta mana ushanka / shimiyuk kamak pishishkamanta. los estudiantes tienen problemas ortográficos por falta de diccionario.
2455,allilla,  suavemente / con cuidado / despacio / sin novedad. mankata allilla shayachinki. pararás con cuidado la olla. allillachu tikramunkichik. allillami tikramurkanchik. ¿regresaron bien? ¡hemos regresado sin novedad!
2456,allipacha,  cierto. allipachachu ñukapa yayaka unkushka. ¿cierto que mi papá está enfermo?
2457,alliyachina,  reconciliar / arreglar un problema entre personas. ñukanchipa llakita alliyachishkanchikmi. hemos resuelto nuestro problema.
2458,allpa kichuy,  invasión. ayllullaktakunapi allpakichuykunaka mana tiyanachu. en las comunidades no deben existir invasiones.
2459,allpacharishka,  recursos naturales. ñukanchipa allpacharishkata rikushpa charishunchik. debemos cuidar nuestros recursos naturales.
2460,allpakamachi,  ley de tierra / reforma agraria. ayllullaktakunapi allpa kamachikunata mana riksinchu. en las comunidades desconocen la ley de tierras.
2461,allpalla,  persona de poca estatura. embarrado de tierra o lodo. ñukapa wawkika allpalla kan. mi hermano es de poca estatura. allpalla armarishka paktamurka. llegó embarrado de tierra.
2462,allpamama,  madre tierra / globo terráqueo. orellana markapi kichwa llaktakunapak allpamamaka wakllirishkami. en orellana la madre tierra kichwa se encuentra contaminada.
2463,allpamamakuna,  continentes. ñukanchikpa allpaka pichka allpamamakunatami charin. nuestro planeta tiene cinco continentes.
2464,allpamamapishayak wachu,  meridiano. kay shuyupi ecuador mamallaktapak allpamamashayak wachuta mashkashunchik. en este gráfico busquemos el meridiano del ecuador.
2465,allpamamapisirik wachu,  paralelos. allpamamapi sirik wachukuna allpata rakin. los paralelos dividen a la tierra.
2466,allpayana,  convertirse en tierra. poseer tierra. wañushpaka allpayanami kanchik. después de muertos tenemos que convertirnos en tierra/ pawshiyaku ayllullaktapi allpayanimi/ tengo tierras en pawshiyaku.
2467,allpayuk,  dueño de tierras / terrateniente / etc. maykan ayllullaktawankurikunaka tawka allpatami charinchik. algunas comunas son poseedoras de muchas tierras.
2468,allu,  moho. kayna yanushka lumupi allumi wiñashka. en la yuca que cociné ayer ha crecido moho
2469,ama,  no (prohibitivo). ama llankaychu. no me toques. ama purinkichu. no caminarás. ama shuwankichu. no robarás.
2470,amarun,  boa. pishku amarun wawata kayna tuparkanchik. ayer encontramos una cría de boa tragadora de aves (pishku amarun). shuk jatun amarun lumuchata japin. una boa grande coge a la guanta.
2471,amichina,  hastiar / cansar / empalagarse. rumillapi tiyarinami amichiwan. me hastía estar sentado en la piedra.
2472,amina,  cansarse de algo / sentir fastidio hastío. tukuy puncha unkushpami amini. me fastidia estar todos los días enfermo.
2473,amu,  patrón. wasi amumi kallpachin. el patrón de casa nos echa.
2474,amulana,  afilar.
2475,amulli,  bocado (de comida / agua / etc.). shuk amullillatak upyana kanki. tiene que tomar un solo bocado de esta agua.
2476,anakuna waska,  cinturón. ishkay anakuna waskata kunan puncha rantirkani. hoy compré dos cinturones.
2477,ananas,  chirimoya. ananas muyu mishkimi. la chirimoya está dulce.
2478,anchayana,  empeorarse de una enfermedad. wawapak kiru nanaymi anchayashka. el dolor de la muela del niño empeoró.
2479,anchuri,  quítese / apártese. ñuka wasimanta anchuri. apártese de mi casa.. ñukapak ñawimanta anchuri. quítese de mi vista.
2480,anchurina,  apartarse / separarse. ayllukuna piñanukpi paykuna wasimanta anchurirkani. como me hablaron los familiares / me separé de la casa.
2481,ankilla,  pez eléctrico. napu mayupimi achka ankilla tiyan. en el río napo hay bastantes anguilas.
2482,ankuyachina,  dar ánimo / dar temple. ankuyashpami sachamanta paktamuni. con mucho ánimo llego desde la montaña.
2483,anpana,  bostezar. anpakushpaka / puñukri. si estás bostezando / vete a dormir.
2484,ansa,  poco. ansa aychata apamuy apapamata kuyankapak. trae un poco de carne para regalar a la abuelita.
2485,anta mikuy,  alimento enlatado. sacha aycha tukurikpimi antamikuyta rantini porque se terminó la carne de monte compro enlatados.
2486,antanka,  avión. panchita quito llaktaman antankapi rishka. panchita se ha ido a quito en avión.
2487,antanwan ñan,  carretera. ñukapa ayllullaktami antanwañanta charin. mi comunidad ya tiene carretera.
2488,antawaku,  carretilla. antawakuwan rumita chakarayku ashtanchik. con la carretilla acarreamos piedra para la escalera.
2489,antawjillay,  tractor. yakupi tiyak rumikunatami antawajillayka tankan. el tractor empuja las piedras del río.
2490,antsi,  afrecho. aswa antsita karuma jichunki. botarás lejos el afrecho de la chicha.
2491,antuchi,  chicha de yuca asada dejando antes crecer hongos colorados / apropiados para ese tipo de chicha. antuchi aswata saksakta upyarkani. tomé demasiada chicha asada de yuca.
2492,apakrina,  ir a traer. ushushi / palantata apakrishpa yanunki. hija / irás a traer plátano y cocinarás.
2493,apamuna,  venir trayendo / traer. kanwata apamuy / lumuchami yakuman urmarka.ven trayendo la canoa que la guanta saltó al agua.
2494,apamupay,  por favor tráeme. ñukapa ashankata apamupay. por favor tráeme la canasta.
2495,apapa,  búho / gavilán nocturno. kay apapa uchilla ukuchakunata mikushpa kawsan. este gavilán nocturno se alimenta de ratas.
2496,apatara,  cucaracha. wasipi achka apatara tiyan. en la casa hay bastantes cucarachas.
2497,apayaya,  viejo / anciano / abuelo. ñukapa apayayaka ashanka awanata yachachiwan. mi abuelo me enseña a tejer canastas.
2498,apinakuna,  agarrarse mutuamente. makiwan apinakushpa pukllashunchik. juguemos cogidos de la mano.
2499,apiyu,  caimito / un árbol de fruta comestible. kay apiyu mishkimi / kamay. este caimito es muy dulce / pruébalo.
2500,apu,  un tipo de insecto / el de color verde es el más común. aputami sachapi purijukta tuparkani. kunaka mayta rin. sacha aputami rimani. al jefe (insecto) le econtré en la selva. y ahora ¿por dónde fue? me refiero al jefe insecto.
2501,apukyachayta pushak,  director. apuk yachayta pushakka piñarishkami. el director de la escuela está enojado.
2502,apunchik wasi,  iglesia. apunchik wasi inik runakuna tantarishkakuna. los creyentes en dios se reúnen en la iglesia.
2503,aputiw,  ajeno / persona desconocida. tupashka runakunaka aputiwmi kan. las personas encontradas son ajenas.
2504,apya-yala,  américa. ecuador mamallaktaka apya-yalapimi. el ecuador se encuentra en américa.
2505,araw,  variedad de lora (habladora). rimankapak yachachishka araw / shuk llulluwawa shina wasi ukupi wakashpa manchachiwarka. una lora a la que enseñaron a hablar / me asustó llorando dentro de la casa como un recién nacido.
2506,arawi,  poema / poesía. shuk arawitami killkarkani. escribí un poema.
2507,ari,  sí. yaya shamurkachu. ari. ¿llegó tu papá? ¡si!
2508,arkana,  atajar / impedir. mayuta arkashpa jampishunchik yaku aychata japinkapak. atrapemos peces atajando en el río.
2509,astana,  acarrear / transportar. wasipak kaspikunata astana kani. tengo que acarrear los palos de la casa.
2510,astanipi,  más luego / un poco después. astanipi karawanki / chayra mana yarkawanchu. dame de comer más luego / aún no tengo hambre.
2511,aswa,  chicha. lumu aswata upyakshamuy. ven a tomar chicha de yuca. chunta aswata upyakshamuy. ven a tomar la chica de chonta.
2512,aswamama,  la que organiza y coordina la preparación de la chicha para las fiestas. aswamamaka upyankapakmi kayarka. la que organiza la preparación de la chicha me invitó a tomar.
2513,ashiyana,  enamorar. shuk huaorani warmita ashiyanata munani. quiero enamorarme de una mujer huaorani.
2514,ashnak,  hediondo / apestoso / fétido. ismushka wakra karami ashnaklla sirin. el cuero podrido de una res es lo que está apestando.
2515,ashtawan,  más / a más de. mikuna alli kachiyukchu. ashtawan churaway ninmi yachin.¿está bien la sal? me parece que quiere que se le ponga algo más.
2516,ata,  pepa aceitosa de un bejuco. tiempo atrás las utilizaron para alumbrar en las noches. ñukanchik rukukunaka atatak japishpallami tutakunapi rikukkuna karka. nuestros abuelos sólo con la pepa aceitosa se alumbraban en las noches.
2517,atakapi,  boa gigante de dos cabezas (de agua dulce). yana kuchapi jatun akatapi wañushka. en la laguna negra se ha muerto una boa grande.
2518,atsiana,  estornudar. sinka jutku shikshipimi atsiajurkani. estuve estornudando porque sentí comezón en las fosas nasales.
2519,awanachipa,  palo de tejer. awana chipawan ñukapak yaya shikrata ruran. mi papá hace shigra con el palo de tejer.
2520,awanakaspi,  telar. punasuyupi kawsak ayllullaktakunaka awanakaspitami llamkasha charin chumpita awankapak. las comunidades indígenas que viven en la sierra tienen telares en los que tejen fajas.
2521,awanu,  árbol de madera fina. awanu yuraka kanwata rurankapaki kan. el árbol de awano sirve para hacer canoa.
2522,awitya,  lorito (una variedad de loro). ñukapapani pukushkata awityata karan. mi hermana da de comer maduro al lorito verde.
2523,aya,  fantasma. ayata kayna pamparkanchik. ayer enterramos el cadáver. tuta ayami manchachiwarka. anoche me asustó un fantasma.
2524,ayapampa,  cementerio. achka ayllukunatami ayapampapi. pamparishkata charini.tengo muchos familiares enterrados en el cementerio.
2525,ayatullu,  esqueleto. wañushkamanta unayman / aycha ismukpi ayatullulla sakirinami kanchik. un tiempo después de muertos / cuando la carne se haya podrido quedaremos solo en esqueleto.
2526,ayawaska,  yagé (una clase de bejuco alucinógeno). ayawaskata upyashpami mana puñuk pakarini. por tomar yagé no he podido dormir esta noche.
2527,aycha uku,  cuerpo interno. tukuy aycha ukumi achkata nanawan. me duele mucho todo el cuerpo interno.
2528,aychana,  cazar. pachayayapa wawapakarishka raymita rurankapakmi aychanaman ayllutaktaka rinushka. la comunidad se fue de cacería para la fiesta del nacimiento del niño dios.
2529,aychañawi,  luciérnaga (kukuyu). kunan tuta achka aychañawimi rishska. esta noche se asomaron bastantes luciérnagas.
2530,ayki,  estafa. palantata kayna katushkapi aykiwanushka. ayer me estafaron en la venta del plátano.
2531,ayllu allpakuna, tierras comunitarias. ayllu allpakunatami ñukanchikka charinchik. nosotros tenemos tierras comunitarias.
2532,ayllullakta,  comunidad / comuna / caserío. ñukanchipa wasita ayllullaktapimi ruranchik. construimos nuestra casa en la comunidad.
2533,ayllu-shuti,  apellido. ñuka llaktapika likuymi tukuymanta yalli achka ayllu-shuti kan. en mi pueblo likuy es el apellido preponderante.
2534,aylluyachik llipi,  propiedad asociativa. shuk yapayta rurashpa aylluyachik llipiwan rikuchik. en la suma demuestre la propiedad asociativa.
2535,aylluyachishka,  emparentado. ñukanchipak aylluyachishka runami ayllu llaktapi apuk tukushka. nuestro hijo emparentado se hizo dirigente de la comunidad.
2536,aysanakuna,  hacer fuerza. yankamanta warmipura akchamanta aysanakurka. por tonteras se tiraron de los pelos entre mujeres.
2537,aysarina,  decrecer / bajar el nivel del agua / deshincharse una infección / encogerse / achicarse. yaku aysarishkami. ha bajado el nivel del río. kayna kashapi chukrishkaka punkishkami kunanka aysarishka. el pinchazo del espino ayer estuvo hinchado / ahora ha rebajado.
2538,chaja,  variedad de raposa. allkumi chajata japishka. el perro ha matado una raposa.
2539,chaka,  puente. yachana wasiman rina chakami urmashka. el puente para cruzar a la escuela se ha caído.
2540,chakimuku,  tobillo. chakimuku takarishkani. me he golpeado en el tobillo.
2541,chakirina,  secarse / rebajar el río. ñuka churana chakirishkachu. ari. chakirishkami. ¿mi ropa está seca? ¡sí / ya está seca! yaku chakirishpa pakarishka. el río amaneció rebajado.
2542,challun,  dos variedades de mosquitos / unos coloraditos que se amontonan en la chicha (aswa challun) y los negritos que se amontonan y molestan en las heridas / estiercol / comidas / etc.. aswallapimi aswa challunka killachin / yanami karachakunapi / ismakunapi imapipash killachin. solo en la chicha molesta el mosquito de la chicha / mientras que el otro / el negrito lo hace en las heridas / en lo que sea.
2543,champira,  palmera de fibra para tejer la red de pescar / hamacas / sikras / piolas / etc. ñukanchik rukukunaka champirallawanmi llikata / shikra / tukuy imakunatapash awakkuna karka. nuestros abuelos sólo con la fibra de la palmera tejían red / bolsos / hamaca y piolas.
2544,champuru,  árbol espinoso pero suave como la papaya / con cuyos frutos se alimentan las tortugas y el tallo tumbado reproduce gusanos. champuru yurapi kuruta japirkani. en el árbol de champuro cogí gusano. champuru muyu jicharishkata tsawatakuna mikunun. las tortugas comen las pepas caídas del champuro.
2545,chamuk,  insípido / desabrido. imaraykuta kanka chamuk mikunallata yanunki. ¿por qué cocinas solo comida insípida?
2546,chapa,  unidos / gemelos / crecer pegados. ñuka panipa ushushimi chapa wawakunata apashka. la hija de mi hermana ha dado a luz a dos niños gemelos. warmi wawakunaka chapa muyukunata mana mikuna / wawa chapata tuparinka. las niñas no deben comer frutas pegadas / les han de nacer niños juntos.
2547,chapu,  mezclar sólidos. sara aswata / lumi aswawan chapuni. mezclo la chilca de maíz con la de yuca.
2548,charapa,  variedad de tortuga rapa lulunta japirka. mi hijo ha juntado diez huevos de tortuga acuática.
2549,chari,  ten (acción de decir tenme una cosa).kan kay allkuta chari. tenme este perro.
2550,chaski,  mensajero. ayllullaktakunapi chayra chaskikunaka tiyan. en las comunidades existen todavía los mensajeros.
2551,chawana,  exprimir. aswata alli chaway . exprima bien la chicha.
2552,chawanaya,  falto de cocción. kay palanta chawanayami. a este plátano le falta cocción.
2553,chawsina,  sacudir / desempolvar / dispersar / desbaratar. puñunata chawsinki allpallami karka. desempolvarás la cama / estaba pura tierra.
2554,chay,  ese / esa / eso / aquel / aquella. chay warmi sumak rikurik kan. esa mujer es bonita. chay ñukanchik puñushka wasita yuyarinkichu / chaypi alli kawsana karka. recuerdas aquella casa donde dormimos / era
2555,chayka,  ¡toma! (acusar algún error). chayka urmarkami. ¡toma / se cayó!. chayka kanpa lumu. ¡toma su yuca! ¡toma por no entender!
2556,chaylla,  solo eso / eso no más / no hay más. chayllatak apamuy. traigan solo eso. chayllami tiyan. eso no más hay.
2557,chayniman,  un poco más allá. chayniman lumu ashankata sakinki. dejarás la canasta de yuca un poco más allá.
2558,chaypi,  allí. wasita chaypi shayachinami. allí hay que parar la casa. chaypimi kanpak puñuna. allí está tu cama.
2559,chayrayku,  por eso. chayrayku ama upyachu nirkani. por eso te dije que no te vayas a tomar.
2560,chayshina,  de esa manera. chayshina wasita rurakpimi alli sakirinka. haciendo de esa manera la casa quedará bien.
2561,chichi,  no tocar (voz prohibitiva para los niños pequeños). chichi / ama llankaychu chay kashata ¡no toques esa espina!.
2562,chichiku,  mono pequeño de la amazonía de color gris (chichico / se conocen por lo menos tres variedades). kay chichiku wawata kanpak akcha ukupi apashpa puri. esta cría de monito anda llevándole dentro de su cabellera.
2563,chichu,  preñada (animales). ñukanchipa warmi allkukuna chichunushkami. nuestras perras se han quedado preñadas.
