id,Kichwa,Espa√±ol,Etiqueta
2162,Watuchina- imashi, Adivinar,negativo 
2163,Wawa, Ni√±o,positivo 
2164,Wawa chumpi, Faja-delgada,neutro 
2165,Wawa kullki kamachik, Regla de inter√©s simple.,neutro 
2166,Wawa mama, Placenta,positivo 
2167,Wawa ruka, Dedo me√±ique,positivo 
2168,Wawakay, Ni√±ez,positivo 
2169,Wawakullki, Inter√©s.,positivo 
2170,Wawchiy, Influencia,positivo 
2171,Wawki, Hermano entre hermanos,positivo 
2172,Wawkikay, hermandad entre hombres,positivo 
2173,Wayay, Ox√≠geno,positivo 
2174,Waychi, Plomo,neutro 
2175,Wayku, Quebrada- barranco,negativo 
2176,Waykuhaskancha, Relieve,neutro 
2177,Waykukaskancha, Relieve,neutro 
2178,Waylla, Verde,positivo 
2179,Wayllamkay, Obrajes,positivo 
2180,waylluy, ternura,positivo 
2181,Wayna, Joven- amante.,neutro 
2182,Wayra, aire- viento,positivo 
2183,Wayrakata- wayramaytu, Atm√≥sfera,neutro 
2184,Wayrayay, Volatilidad,positivo 
2185,Wayru, Octubre,neutro 
2186,WAYRU killa, Octubre,neutro 
2187,Wayta, Clavel,neutro 
2188,Wa√±una, Morir,negativo 
2189,Wa√±uy, Muerte,negativo 
2190,Wa√±uykamachiy, Ley de inquisici√≥n,neutro 
2191,Wichay, Subida- cuesta,positivo 
2192,Wichay suyu, Sur,positivo 
2193,Wichayana, Ascender,positivo 
2194,Wichisuni, Alto,positivo 
2195,Wichkachik, Par√©ntesis,neutro 
2196,Wichkak chupa, Comilla.,positivo 
2197,Wichkak chupa(W), Comilla,neutro 
2198,Wichkashka, Encerrado,negativo 
2199,Wika, Escremento,positivo 
2200,Wikar, Cintura,positivo 
2201,Wiki, L√°grima,negativo 
2202,Wikka mayu, Sumo saserdote-.Shyry,positivo 
2203,Wiksa, Barriga- vientre,positivo 
2204,Wikuriy, Flexibilidad,positivo 
2205,Wilka, Ritos,positivo 
2206,Wilkana, Rito,positivo 
2207,Wilkana- muchana, Adorar- venerar,positivo 
2208,Wilkay, Sagrado,neutro 
2209,Willachik, Noticia,positivo 
2210,Willak hillay, Medio de comunicaci√≥n,positivo 
2211,Willak pirka(W), Peri√≥dico mural,neutro 
2212,Willak yuyay, Oraci√≥n enunciativa,neutro 
2213,Willakpirka, Peri√≥dico mural.,positivo 
2214,Willana, Avisar- informar,positivo 
2215,Willayhillay, Medio de Comunicaci√≥n.,positivo 
2216,Willaykancha, Medios de comunicaci√≥n,positivo 
2217,Williku, Espermatozoide,neutro 
2218,Wilyay- lumyay, Llamarada,neutro 
2219,Winkuchikkuna, Par√©ntesis.,neutro 
2220,Winkuk, Llaves.,neutro 
2221,Wirakucha, Rubicundo- pelirojo- rubio,positivo 
2222,WISIYAY, Crema,positivo 
2223,Wisnu, Materia,positivo 
2224,Wisya, Crema,neutro 
2225,Witikwitik, Tambalear,neutro 
2226,Witsyayay, Subirse,positivo 
2227,Wiwakamay, Ganader√≠a,positivo 
2228,WIWAKUNA, ANIMALES,positivo 
2229,Wiwika, Oveja,positivo 
2230,Wiwika- Llama, Oveja,positivo 
2231,Wi√±a, generaci√≥n,neutro 
2232,Wi√±achina, Criar,neutro 
2233,Wi√±achishka shimi, Neologismo,neutro 
2234,Wi√±akukllachak (K), Alm√°cigos,neutro 
2235,Wi√±ana, Crecer,positivo 
2236,Wi√±ari, Desarrollo,positivo 
2237,Wi√±arikpukyu, Fuente- vertiente,positivo 
2238,Wi√±arina, Desarrollar,neutro 
2239,Wi√±ay, Siempre,positivo 
2240,Wi√±ay kawsay kallaripi rurayta kamay, Arqueolog√≠a,neutro 
2241,Wi√±ay kawsaykallaripi ruraytakamay, Arqueolog√≠a,neutro 
2242,Wi√±aykawsay, Historia,positivo 
2243,Wi√±aykawsay imakuna, Hechos hist√≥ricos,neutro 
2244,Wi√±aykawsay kallariy, Prehistoria,neutro 
2245,Wi√±aykaysay kallari, Inicio de la historia prehistoria,neutro 
2246,Yachakuna, Aprender,positivo 
2247,Yachana, Saber,positivo 
2248,YACHANA WASI, Escuela,neutro 
2249,Yachapayay, Dramatizaci√≥n.,neutro  
2250,Yachapayay (W), Dramatizaci√≥n,neutro 
2251,Yachariy, Estar acostumbrado,neutro 
2252,Yachay, Ciencia- educaci√≥n,neutro 
2253,Yachay pampa, Area.,neutro 
2254,Yachay √±an, Proceso metodol√≥gico,neutro 
2255,Yachayay, enterarse,positivo 
2256,Yachaykamachik, Ley de Educaci√≥n,neutro 
2257,Yachaykancha, √Årea,positivo 
2258,Yachaykuna, Sabidur√≠a,positivo 
2259,Yachaypa hillay, Material did√°ctico,neutro 
2260,Yachaypak hillay, Recurso did√°ctico,neutro 
2261,Yachayruray, Pr√°ctica,positivo 
2262,Yachayshuti, T√≠tulo,positivo 
2263,Yachayta taripana, Dominio del conocimiento.,neutro 
2264,Yachayta taripay, Dominio del conocimiento,neutro 
2265,Yachayta wallpay, Creaci√≥n del conocimiento,neutro 
2266,Yachayta willana, Socializaci√≥n del conocimiento,neutro 
2267,Yachayta wi√±achiy, Creaci√≥n del conocimiento.,neutro 
2268,Yachaywa, Tema.,positivo 
2269,Yachaywa (W), Tema,positivo 
2270,Yachaywan rurana, Aplicaci√≥n del conocimiento,neutro 
2271,Yachayyuyay, Teor√≠a,positivo 
2272,Yachay√±an, Metodolog√≠a,neutro 
2273,Yaksina, Fundir,positivo 
2274,Yaksishka, Fundido,positivo 
2275,Yaku, Agua,neutro 
2276,Yaku ishpa, Orina,neutro 
2277,Yaku larka, Canal de riego,neutro 
2278,Yaku shunku, H√≠gado,neutro 
2279,Yakuhampik Chuyayachik Yachuchik, Cloraci√≥n del agua,neutro 
2280,Yakukamay, Hidrograf√≠a,positivo 
2281,Yakumuyuyallpa, Isla tierra rodeade de agua,neutro 
2282,Yakushushuy, Decantaci√≥n,neutro 
2283,Yakuyachik, Disolvente,positivo 
2284,Yakuyachina, Disolver,positivo 
2285,Yakuyachiy, derretir,negativo 
2286,Yakuyakkuri, Golfo,negativo 
2287,Yakuyashka, L√≠quido,neutro 
2288,Yakwallpa, Anfibios,neutro 
2289,Yalli paktachik, Complemento Directo.,neutro 
2290,Yalli paktachik YP, Complemento Directo,neutro 
2291,Yallichawpiyak, Moda,neutro 
2292,Yallilutsayak, Proporci√≥n geom√©trica o directa,neutro 
2293,Yallimanya, Cateto mayor.,neutro 
2294,Yallishka, Mayor que,positivo 
2295,Yallishka pacha, Tiempo pasado,neutro 
2296,Yalliyak pakiyupay, Fracci√≥n inpropia,neutro 
2297,Yana sara, Ma√≠z negro,neutro 
2298,Yana shunku, Ri√±√≥n,positivo 
2299,Yana yana, Negro intenso,positivo 
2300,Yanakuna, servidumbre,negativo 
2301,Yanantina- kutuna- hatun hallmana, Aporcar,positivo 
2302,Yanapak wasi, Agencia de desarrollo,positivo 
2303,Yanapak wasikuna, Instituciones,positivo 
2304,Yanapana, Ayudar,neutro 
2305,Yanapanka, servicio,neutro 
2306,Yanapay, Servicio- Servir,positivo 
2307,Yanapayana, Solidarizar,positivo 
2308,Yanapayaymanta, Solidadaridad,positivo 
2309,Yankakapak, Politiquero,neutro 
2310,Yankakichuna, Invadir,neutro 
2311,Yankakichuy, Invasi√≥n,neutro 
2312,Yankichik, Agentes,positivo 
2313,Yankina, Modificar,positivo 
2314,Yankina- Shukmanyachina, Cambiar,neutro 
2315,Yankinachik, Agente modificador,neutro 
2316,Yankiy, Cambio,neutro 
2317,Yanuna, Cocinar,positivo 
2318,Yanuna uku, Cocina,positivo 
2319,Yapa tantachiy, Conjunto uni√≥n,positivo 
2320,Yapakullki, Monto,positivo 
2321,Yapakullkina, Usura,neutro 
2322,Yapakutinchiklla, Frecuencia acumulada,positivo 
2323,Yapalutsay, Proporcionalidad directa,positivo 
2324,Yaparikkuna, Sumandos,neutro 
2325,Yapatantachi, Uni√≥n de conjuntos.,neutro 
2326,Yapuk, Arador,positivo 
2327,Yari, Sentido,positivo 
2328,Yariyachina, 2Percibir,negativo 
2329,Yarkay, hambre,negativo 
2330,Yawar, Sangre,neutro 
2331,Yawar ayllunikiyashka, Grados de consanguinidad,neutro
2332,Yawar Muyuri, Circulaci√≥n de sangre,neutro 
2333,Yawarchakruri, Mestizaje,positivo 
2334,Yawarmuyuriy, Circulatorio sangu√≠neo,positivo 
2335,YAWARPURIY, Presi√≥n Arterial,positivo 
2336,Yawati, Tortuga,positivo 
2337,Yawatisuyu, Regi√≥n Insular Gal√°pagos,neutro 
2338,Yawri, Aguja,neutro 
2339,Yaya, Padre,positivo 
2340,Yaya / tayta, Pap√°- padre,positivo 
2341,Yaykuchiy- satiy, Introducci√≥n f√≠sica,neutro 
2342,Yaykuna, entrar,positivo 
2343,Yukuna- yumana, Aparear,positivo 
2344,Yuma, Semen,negativo 
2345,Yumariy, unirse sexualmente,neutro 
2346,Yumay, Semen,negativo 
2347,Yupachay, Cortes√≠a,neutro 
2348,Yupachi, Conteo,neutro 
2349,Yupana, Contar,positivo 
2350,Yupay chani, Valor absoluto o num√©rico,positivo 
2351,Yupaychana, Agradecer,neutro 
2352,Yupaychani, Gracias,positivo 
2353,Yupaykamay, Matem√°tica,positivo 
2354,Yupaykamay hillaykuna, Materiales did√°cticos de la matem√°tica,neutro 
2355,Yupaykamaychi, Sistema num√©rico,positivo 
2356,Yupaykamaychi yuyay, Pensamiento l√≥gico matem√°tico,positivo 
2357,Yupaykamayuk, Matem√°tico,positivo 
2358,Yupaykuna, Los n√∫meros,neutro 
2359,Yupaykuska, Recta num√©rica,neutro 
2360,YUPAYLLI, Cuenta Bancaria,neutro 
2361,Yupaymillka, Esquema num√©rico,positivo 
2362,Yupaynikichik, Calculadora,positivo 
2363,Yupaypurachi, Raz√≥n,neutro 
2364,Yupayrurayri, Operaci√≥n num√©rica o Aritm√©tica,neutro 
2365,Yura, Planta,positivo 
2366,Yurak, Blanco,positivo 
2367,Yurak sara, Ma√≠z blanco,neutro 
2368,Yurak shunku, Pulm√≥n,positivo 
2369,Yurakamak, Forestal,neutro 
2370,YURAKUNA, PLANTAS,positivo 
2371,Yutay, Influencia,neutro 
2372,Yuyakillkalla, Carta,positivo 
2373,Yuyakyashka, Vejez,positivo 
2374,Yuyana, Pensar,positivo 
2375,Yuyarikkuna, Reflexiones,positivo 
2376,Yuyarina, Reflexionar,positivo 
2377,Yuyasha, Cautela,positivo 
2378,Yuyay, Pensamieto,positivo 
2379,Yuyay awariy, Sintaxis,positivo 
2380,Yuyay kaspi, L√≠nea imaginaria,positivo 
2381,Yuyay paktay, Unidad de criterio,neutro 
2382,Yuyay rurayri, Problemas razonados.,neutro  
2383,Yuyaychipukllay, Rompecabezas,neutro 
2384,Yuyaynikik, Software,positivo 
2385,Yuyaynina, Opinar,positivo 
2386,Yuyaypaktana, Concertar.,positivo 
2387,Yuyayrikuchik, Determinaci√≥n o definici√≥n,neutro 
2388,Yuyayrina, Concentrar,neutro 
2389,Yuyayrina (W), Concentrar mental,positivo 
2390,Yuyu / panra, Nabo,positivo 
2391,Zampu, Sambo- calabaza,positivo 
2392,ZIRMAPUTULLI, Bateria- pila,positivo 
2393,√ëachu, ya est√°- ya es,positivo 
2394,√ëakariy, Pasi√≥n de placer,neutro 
2395,√ëankamu, Gu√≠a,positivo 
2396,√ëankamu (W), Gu√≠a did√°ctica,negativo 
2397,√ëapash shamuna pacha, Futuro inmediato,neutro 
2398,√ëawchina, Auxiliar- cooperar- influenciar- contribuir,positivo 
2399,√ëawchina- yanapana, Auxiliar,positivo 
2400,√ëawi, Cara- rostro,neutro 
2401,√ëawi chakata, Gl√°ndula pineal,neutro 
2402,√ëawi chichu, Mejilla,neutro 
2403,√ëawi lulun, Ojo,positivo 
2404,√ëawi millma, Pesta√±a,positivo 
2405,√ëawi pata millma, Ceja,positivo 
2406,√ëawirina- killkakatina, Leer.,positivo 
2407,√ëawirina- killkakatina (Taller B), Leer,positivo 
2408,√ëawpa, Delante tiempo:,neutro 
2409,√ëawpa kawsay pacha, Eras Antiguas,neutro 
2410,√ëawpa pachak-watakuna, largos siglos,neutro 
2411,√ëawpa uma tullu, Hueso frontal del cr√°neo,positivo 
2412,√ëawpak, Principales,neutro 
2413,√ëawpakawsay imarikuchi kunakamay, Vestigios Arqueol√≥gicos,neutro 
2414,√ëawpakawsayimarikuchi kunakamay, Vestigios arqueol√≥gicos,neutro 
2415,√ëawpana, Adelantar,positivo 
2416,√ëawpanchina, Promover.,positivo 
2417,√ëawpanchina (W), Promover,positivo 
2418,√ëawpapacha, Paleol√≠tico,positivo 
2419,√ëawparimay, Mito- cuento- leyenda,positivo 
2420,√ëa√±a, Hermana entre hermanas,positivo 
2421,√ëa√±akay, hermandad entre mujeres,positivo 
2422,√ëa√±u, Delgado,neutro 
2423,√ëa√±u chunchulli, Intestino delgado,neutro 
2424,√ëuka, Yo- mio- mia,neutro 
2425,√ëukanchik, Nosotras - Nosotros,neutro 
2426,√ëukanchikpa, Nuestro- nuestra,neutro
2427,√ëukapa Yuyaymanta, De mi consideraci√≥n,positivo 
2428,√ëukik, sensual,neutro
2429,√±unu, leche,neutro 
2430,√±utalla, Sutil,positivo
2431,√±utku, Seso,neutro 
2432,√ëutu- amuk, Suave- blando,neutro 
2433,√ëutu√±achina, Ablandar,positivo 
2434,achachaw,  °quÈ calor! achachaw / mana puÒunata ushanÌ. °quÈ calor! °no puedo dormir!,neutro
2435,achachay,  expresiÛn que se dice al tocar algo frÌo o mojado. achachay / chirimi kashka. °uf / quÈ frÌa ha estado esta agua!,neutro
2436,achikyachik,  foco. Òukanchik yachana wasipi achikyachik rupashka. el foco de nuestra escuela se quemÛ.,neutro
2437,achikyana,  brillar. tutamantak inti achikyarka. el sol brillÛ desde la maÒana.,positivo
2438,achkanaya,  algo m·s / bastante. achkanayata churapay. ponme algo m·s por favor.,positivo
2439,achuchu,  expresiÛn utilizada para asustar a los niÒos pequeÒos para que no toquen el fuego o algo que queme. achuchu / ama llamkaychu. °es caliente / no toques!,neutro
2440,achukcha,  achogcha. achukchata yanuy / uchuwan takashpa mikunkapak. cocina achogcha / que comerÈ con ajÌ.,negativo
2441,ajirinri,  ajemjimbre. paypak chakrapi awirinrita tarpushka. en la chacra de Èl han sembrado jengibre.,positivo
2442,akankaw (kakataw),  tipo de gavil·n que se alimenta de nidos de avispas. akankawaka imatapash rikushpa yapa kaparin kan. ese tipo de gavil·n viendo cualquier cosa chilla mucho.,negativo
2443,akcha-kara,  cuero cabelludo. akcha-karami shikshiwan. siento comezÛn en el cuero cabelludo.,negativo
2444,akllana,  escoger / elegir / clasificar. churana llachapata akllashpa rantinki. escogiendo comprar·s la ropa.,positivo
2445,aklluna,  tartamudear / balbucear. shuk nikipi yachakuk wakin wawakunaka yachaykunapi akllunakun. algunos niÒos de primer nivel tartamudean en el aprendizaje.,neutro
2446,aknina,  eructar. llullu aswata upyashpami aknini.tomando chicha tierna eructo.,negativo
2447,aku,  gramo. ishkay kuri akuta mayupi llukshichirkani. saquÈ del rÌo dos gramos de oro.,positivo
2448,ala,  hongo comestible. ala uchumankatami wasipik mikunchik.en casa comemos sopa de hongos con ajÌ.,negativo
2449,alakatu (alankatu),  chicha espesa / que antes de servirla ya sea con la mano o con alg˙n utensilio / la mujer baila delante de la persona a quien va a brindar. apukkuna paktamushkapi / alakatuta warmikuna kararka. a las autoridades / las mujeres les dieron chicha espesa.,neutro
2450,almayari,  cumbrera para casas / tejida con hojas de palmeras. panka wasi jawapi almayarita churay. ponga la cumbrera de la casa.,neutro
2451,alukus,  hormiga negra fÈtida / hediondo. pakay yurapimi alukus achka mirashka. en ·rbol de guaba ha aumentado la hormiga negra.,negativo
2452,allichiska jampi,  remedio quÌmico. ayllullaktapika chukchu unkuytaka allichishka jampiwanmi jampinchik. el paludismo en las comunidades es controlado con remedio quÌmico.,negativo
2453,allikawsay,  salud. antisuyumanta kichwa ayllukunami allpa wiramanta mana allikawsayta tuparin. las familias kichwas de la amazonÌa se encuentran mal de salud por la contaminaciÛn petrolera.,positivo
2454,allikillkana,  ortografÌa. yachakukkunaka mana allikillkayta mana ushanka / shimiyuk kamak pishishkamanta. los estudiantes tienen problemas ortogr·ficos por falta de diccionario.,negativo
2455,allilla,  suavemente / con cuidado / despacio / sin novedad. mankata allilla shayachinki. parar·s con cuidado la olla. allillachu tikramunkichik. allillami tikramurkanchik. øregresaron bien? °hemos regresado sin novedad!,neutro
2456,allipacha,  cierto. allipachachu Òukapa yayaka unkushka. øcierto que mi pap· est· enfermo?,negativo
2457,alliyachina,  reconciliar / arreglar un problema entre personas. Òukanchipa llakita alliyachishkanchikmi. hemos resuelto nuestro problema.,positivo
2458,allpa kichuy,  invasiÛn. ayllullaktakunapi allpakichuykunaka mana tiyanachu. en las comunidades no deben existir invasiones.,neutro
2459,allpacharishka,  recursos naturales. Òukanchipa allpacharishkata rikushpa charishunchik. debemos cuidar nuestros recursos naturales.,positivo
2460,allpakamachi,  ley de tierra / reforma agraria. ayllullaktakunapi allpa kamachikunata mana riksinchu. en las comunidades desconocen la ley de tierras.,neutro
2461,allpalla,  persona de poca estatura. embarrado de tierra o lodo. Òukapa wawkika allpalla kan. mi hermano es de poca estatura. allpalla armarishka paktamurka. llegÛ embarrado de tierra.,negativo
2462,allpamama,  madre tierra / globo terr·queo. orellana markapi kichwa llaktakunapak allpamamaka wakllirishkami. en orellana la madre tierra kichwa se encuentra contaminada.,neutro
2463,allpamamakuna,  continentes. Òukanchikpa allpaka pichka allpamamakunatami charin. nuestro planeta tiene cinco continentes.,positivo
2464,allpamamapishayak wachu,  meridiano. kay shuyupi ecuador mamallaktapak allpamamashayak wachuta mashkashunchik. en este gr·fico busquemos el meridiano del ecuador.,positivo
2465,allpamamapisirik wachu,  paralelos. allpamamapi sirik wachukuna allpata rakin. los paralelos dividen a la tierra.,neutro
2466,allpayana,  convertirse en tierra. poseer tierra. waÒushpaka allpayanami kanchik. despuÈs de muertos tenemos que convertirnos en tierra/ pawshiyaku ayllullaktapi allpayanimi/ tengo tierras en pawshiyaku., neutro
2467,allpayuk,  dueÒo de tierras / terrateniente / etc. maykan ayllullaktawankurikunaka tawka allpatami charinchik. algunas comunas son poseedoras de muchas tierras.,neutro
2468,allu,  moho. kayna yanushka lumupi allumi wiÒashka. en la yuca que cocinÈ ayer ha crecido moho,neutro
2469,ama,  no (prohibitivo). ama llankaychu. no me toques. ama purinkichu. no caminar·s. ama shuwankichu. no robar·s.,positivo
2470,amarun,  boa. pishku amarun wawata kayna tuparkanchik. ayer encontramos una crÌa de boa tragadora de aves (pishku amarun). shuk jatun amarun lumuchata japin. una boa grande coge a la guanta.,neutro
2471,amichina,  hastiar / cansar / empalagarse. rumillapi tiyarinami amichiwan. me hastÌa estar sentado en la piedra.,neutro
2472,amina,  cansarse de algo / sentir fastidio hastÌo. tukuy puncha unkushpami amini. me fastidia estar todos los dÌas enfermo.,negativo
2473,amu,  patrÛn. wasi amumi kallpachin. el patrÛn de casa nos echa.,negativo
2474,amulana,  afilar.,positivo
2475,amulli,  bocado (de comida / agua / etc.). shuk amullillatak upyana kanki. tiene que tomar un solo bocado de esta agua.,positivo
2476,anakuna waska,  cinturÛn. ishkay anakuna waskata kunan puncha rantirkani. hoy comprÈ dos cinturones.,neutro
2477,ananas,  chirimoya. ananas muyu mishkimi. la chirimoya est· dulce.,positivo
2478,anchayana,  empeorarse de una enfermedad. wawapak kiru nanaymi anchayashka. el dolor de la muela del niÒo empeorÛ.,negativo
2479,anchuri,  quÌtese / ap·rtese. Òuka wasimanta anchuri. ap·rtese de mi casa.. Òukapak Òawimanta anchuri. quÌtese de mi vista.,negativo
2480,anchurina,  apartarse / separarse. ayllukuna piÒanukpi paykuna wasimanta anchurirkani. como me hablaron los familiares / me separÈ de la casa.,neutro
2481,ankilla,  pez elÈctrico. napu mayupimi achka ankilla tiyan. en el rÌo napo hay bastantes anguilas.,neutro
2482,ankuyachina,  dar ·nimo / dar temple. ankuyashpami sachamanta paktamuni. con mucho ·nimo llego desde la montaÒa.,neutro
2483,anpana,  bostezar. anpakushpaka / puÒukri. si est·s bostezando / vete a dormir.,positivo
2484,ansa,  poco. ansa aychata apamuy apapamata kuyankapak. trae un poco de carne para regalar a la abuelita.,neutro
2485,anta mikuy,  alimento enlatado. sacha aycha tukurikpimi antamikuyta rantini porque se terminÛ la carne de monte compro enlatados.,neutro
2486,antanka,  aviÛn. panchita quito llaktaman antankapi rishka. panchita se ha ido a quito en aviÛn.,positivo
2487,antanwan Òan,  carretera. Òukapa ayllullaktami antanwaÒanta charin. mi comunidad ya tiene carretera.,neutro
2488,antawaku,  carretilla. antawakuwan rumita chakarayku ashtanchik. con la carretilla acarreamos piedra para la escalera.,neutro
2489,antawjillay,  tractor. yakupi tiyak rumikunatami antawajillayka tankan. el tractor empuja las piedras del rÌo.,neutro
2490,antsi,  afrecho. aswa antsita karuma jichunki. botar·s lejos el afrecho de la chicha.,neutro
2491,antuchi,  chicha de yuca asada dejando antes crecer hongos colorados / apropiados para ese tipo de chicha. antuchi aswata saksakta upyarkani. tomÈ demasiada chicha asada de yuca.,positivo
2492,apakrina,  ir a traer. ushushi / palantata apakrishpa yanunki. hija / ir·s a traer pl·tano y cocinar·s.,positivo
2493,apamuna,  venir trayendo / traer. kanwata apamuy / lumuchami yakuman urmarka.ven trayendo la canoa que la guanta saltÛ al agua.,neutro
2494,apamupay,  por favor tr·eme. Òukapa ashankata apamupay. por favor tr·eme la canasta.,neutro
2495,apapa,  b˙ho / gavil·n nocturno. kay apapa uchilla ukuchakunata mikushpa kawsan. este gavil·n nocturno se alimenta de ratas.,negativo
2496,apatara,  cucaracha. wasipi achka apatara tiyan. en la casa hay bastantes cucarachas.,negativo
2497,apayaya,  viejo / anciano / abuelo. Òukapa apayayaka ashanka awanata yachachiwan. mi abuelo me enseÒa a tejer canastas.,positivo
2498,apinakuna,  agarrarse mutuamente. makiwan apinakushpa pukllashunchik. juguemos cogidos de la mano.,positivo
2499,apiyu,  caimito / un ·rbol de fruta comestible. kay apiyu mishkimi / kamay. este caimito es muy dulce / pruÈbalo.,positivo
2500,apu,  un tipo de insecto / el de color verde es el m·s com˙n. aputami sachapi purijukta tuparkani. kunaka mayta rin. sacha aputami rimani. al jefe (insecto) le econtrÈ en la selva. y ahora øpor dÛnde fue? me refiero al jefe insecto.,negativo
2501,apukyachayta pushak,  director. apuk yachayta pushakka piÒarishkami. el director de la escuela est· enojado.,negativo
2502,apunchik wasi,  iglesia. apunchik wasi inik runakuna tantarishkakuna. los creyentes en dios se re˙nen en la iglesia.,positivo
2503,aputiw,  ajeno / persona desconocida. tupashka runakunaka aputiwmi kan. las personas encontradas son ajenas.,neutro
2504,apya-yala,  amÈrica. ecuador mamallaktaka apya-yalapimi. el ecuador se encuentra en amÈrica.,neutro
2505,araw,  variedad de lora (habladora). rimankapak yachachishka araw / shuk llulluwawa shina wasi ukupi wakashpa manchachiwarka. una lora a la que enseÒaron a hablar / me asustÛ llorando dentro de la casa como un reciÈn nacido.,neutro
2506,arawi,  poema / poesÌa. shuk arawitami killkarkani. escribÌ un poema.,positivo
2507,ari,  sÌ. yaya shamurkachu. ari. øllegÛ tu pap·? °si!,neutro
2508,arkana,  atajar / impedir. mayuta arkashpa jampishunchik yaku aychata japinkapak. atrapemos peces atajando en el rÌo.,neutro
2509,astana,  acarrear / transportar. wasipak kaspikunata astana kani. tengo que acarrear los palos de la casa.,neutro
2510,astanipi,  m·s luego / un poco despuÈs. astanipi karawanki / chayra mana yarkawanchu. dame de comer m·s luego / a˙n no tengo hambre.,neutro
2511,aswa,  chicha. lumu aswata upyakshamuy. ven a tomar chicha de yuca. chunta aswata upyakshamuy. ven a tomar la chica de chonta.,positivo
2512,aswamama,  la que organiza y coordina la preparaciÛn de la chicha para las fiestas. aswamamaka upyankapakmi kayarka. la que organiza la preparaciÛn de la chicha me invitÛ a tomar.,neutro
2513,ashiyana,  enamorar. shuk huaorani warmita ashiyanata munani. quiero enamorarme de una mujer huaorani.,positivo
2514,ashnak,  hediondo / apestoso / fÈtido. ismushka wakra karami ashnaklla sirin. el cuero podrido de una res es lo que est· apestando.,negativo
2515,ashtawan,  m·s / a m·s de. mikuna alli kachiyukchu. ashtawan churaway ninmi yachin.øest· bien la sal? me parece que quiere que se le ponga algo m·s.,neutro
2516,ata,  pepa aceitosa de un bejuco. tiempo atr·s las utilizaron para alumbrar en las noches. Òukanchik rukukunaka atatak japishpallami tutakunapi rikukkuna karka. nuestros abuelos sÛlo con la pepa aceitosa se alumbraban en las noches.,neutro
2517,atakapi,  boa gigante de dos cabezas (de agua dulce). yana kuchapi jatun akatapi waÒushka. en la laguna negra se ha muerto una boa grande.,positivo
2518,atsiana,  estornudar. sinka jutku shikshipimi atsiajurkani. estuve estornudando porque sentÌ comezÛn en las fosas nasales.,neutro
2519,awanachipa,  palo de tejer. awana chipawan Òukapak yaya shikrata ruran. mi pap· hace shigra con el palo de tejer.,neutro
2520,awanakaspi,  telar. punasuyupi kawsak ayllullaktakunaka awanakaspitami llamkasha charin chumpita awankapak. las comunidades indÌgenas que viven en la sierra tienen telares en los que tejen fajas.,positivo
2521,awanu,  ·rbol de madera fina. awanu yuraka kanwata rurankapaki kan. el ·rbol de awano sirve para hacer canoa.,neutro
2522,awitya,  lorito (una variedad de loro). Òukapapani pukushkata awityata karan. mi hermana da de comer maduro al lorito verde.,positivo
2523,aya,  fantasma. ayata kayna pamparkanchik. ayer enterramos el cad·ver. tuta ayami manchachiwarka. anoche me asustÛ un fantasma.,negativo
2524,ayapampa,  cementerio. achka ayllukunatami ayapampapi. pamparishkata charini.tengo muchos familiares enterrados en el cementerio.,neutro
2525,ayatullu,  esqueleto. waÒushkamanta unayman / aycha ismukpi ayatullulla sakirinami kanchik. un tiempo despuÈs de muertos / cuando la carne se haya podrido quedaremos solo en esqueleto.,negativo
2526,ayawaska,  yagÈ (una clase de bejuco alucinÛgeno). ayawaskata upyashpami mana puÒuk pakarini. por tomar yagÈ no he podido dormir esta noche.,negativo
2527,aycha uku,  cuerpo interno. tukuy aycha ukumi achkata nanawan. me duele mucho todo el cuerpo interno.,positivo
2528,aychana,  cazar. pachayayapa wawapakarishka raymita rurankapakmi aychanaman ayllutaktaka rinushka. la comunidad se fue de cacerÌa para la fiesta del nacimiento del niÒo dios.,neutro
2529,aychaÒawi,  luciÈrnaga (kukuyu). kunan tuta achka aychaÒawimi rishska. esta noche se asomaron bastantes luciÈrnagas.,neutro
2530,ayki,  estafa. palantata kayna katushkapi aykiwanushka. ayer me estafaron en la venta del pl·tano.,negativo
2531,ayllu allpakuna, tierras comunitarias. ayllu allpakunatami Òukanchikka charinchik. nosotros tenemos tierras comunitarias.,neutro
2532,ayllullakta,  comunidad / comuna / caserÌo. Òukanchipa wasita ayllullaktapimi ruranchik. construimos nuestra casa en la comunidad.,positivo
2533,ayllu-shuti,  apellido. Òuka llaktapika likuymi tukuymanta yalli achka ayllu-shuti kan. en mi pueblo likuy es el apellido preponderante.,neutro
2534,aylluyachik llipi,  propiedad asociativa. shuk yapayta rurashpa aylluyachik llipiwan rikuchik. en la suma demuestre la propiedad asociativa.,neutro
2535,aylluyachishka,  emparentado. Òukanchipak aylluyachishka runami ayllu llaktapi apuk tukushka. nuestro hijo emparentado se hizo dirigente de la comunidad.,neutro
2536,aysanakuna,  hacer fuerza. yankamanta warmipura akchamanta aysanakurka. por tonteras se tiraron de los pelos entre mujeres.,negativo
2537,aysarina,  decrecer / bajar el nivel del agua / deshincharse una infecciÛn / encogerse / achicarse. yaku aysarishkami. ha bajado el nivel del rÌo. kayna kashapi chukrishkaka punkishkami kunanka aysarishka. el pinchazo del espino ayer estuvo hinchado / ahora ha rebajado.,negativo
